run,transformation_id,family,n_seeds,mean,sd,min,max
betterleaks/default,T5.2,indirection,5,0.0000,0.0000,0.0000,0.0000
betterleaks/default,T6.1,contextual,5,0.7778,0.0000,0.7778,0.7778
betterleaks/default,T6.4,contextual,5,0.7778,0.0000,0.7778,0.7778
betterleaks/default,T7.1,composition,5,0.0407,0.0149,0.0259,0.0556
betterleaks/default,T7.2,composition,5,0.0000,0.0000,0.0000,0.0000
detect-secrets/default,T0.0,control,5,1.0000,0.0000,1.0000,1.0000
detect-secrets/default,T1.1,encoding,5,0.8254,0.0061,0.8185,0.8333
detect-secrets/default,T1.2,encoding,5,0.7501,0.0062,0.7432,0.7580
detect-secrets/default,T1.3,encoding,5,0.3869,0.0028,0.3840,0.3914
detect-secrets/default,T1.4,encoding,5,0.8887,0.0005,0.8877,0.8889
detect-secrets/default,T1.5,encoding,5,0.9678,0.0059,0.9590,0.9741
detect-secrets/default,T1.6,encoding,5,0.6626,0.0040,0.6558,0.6654
detect-secrets/default,T1.7,encoding,5,0.8889,0.0000,0.8889,0.8889
detect-secrets/default,T2.1,multi_encoding,5,0.8864,0.0017,0.8840,0.8889
detect-secrets/default,T2.2,multi_encoding,5,0.8889,0.0000,0.8889,0.8889
detect-secrets/default,T2.3,multi_encoding,5,0.8889,0.0000,0.8889,0.8889
detect-secrets/default,T3.1,splitting,5,0.5561,0.0198,0.5345,0.5758
detect-secrets/default,T3.2,splitting,5,0.1808,0.0131,0.1635,0.2000
detect-secrets/default,T3.3,splitting,5,0.0000,0.0000,0.0000,0.0000
detect-secrets/default,T3.4,splitting,5,0.0000,0.0000,0.0000,0.0000
detect-secrets/default,T3.5,splitting,5,0.0497,0.0072,0.0444,0.0593
detect-secrets/default,T4.3,char_format,5,0.0000,0.0000,0.0000,0.0000
detect-secrets/default,T4.5,char_format,5,0.4390,0.0014,0.4370,0.4407
detect-secrets/default,T5.1,indirection,5,0.7745,0.0055,0.7650,0.7778
detect-secrets/default,T5.2,indirection,5,0.0000,0.0000,0.0000,0.0000
detect-secrets/default,T6.1,contextual,5,0.9473,0.0030,0.9426,0.9506
detect-secrets/default,T6.4,contextual,5,0.9489,0.0084,0.9378,0.9580
detect-secrets/default,T7.1,composition,5,0.0000,0.0000,0.0000,0.0000
detect-secrets/default,T7.2,composition,5,0.0000,0.0000,0.0000,0.0000
gitleaks/decode,T0.0,control,5,1.0000,0.0000,1.0000,1.0000
gitleaks/decode,T1.1,encoding,5,0.9899,0.0056,0.9802,0.9938
gitleaks/decode,T1.2,encoding,5,0.6590,0.0030,0.6543,0.6617
gitleaks/decode,T1.3,encoding,5,0.0067,0.0028,0.0037,0.0088
gitleaks/decode,T1.4,encoding,5,0.9980,0.0023,0.9950,1.0000
gitleaks/decode,T1.5,encoding,5,0.9977,0.0024,0.9938,1.0000
gitleaks/decode,T1.6,encoding,5,0.6533,0.0046,0.6468,0.6592
gitleaks/decode,T1.7,encoding,5,0.6610,0.0028,0.6568,0.6642
gitleaks/decode,T2.1,multi_encoding,5,0.9884,0.0053,0.9815,0.9938
gitleaks/decode,T2.2,multi_encoding,5,0.9891,0.0046,0.9827,0.9938
gitleaks/decode,T2.3,multi_encoding,5,0.9901,0.0025,0.9877,0.9938
gitleaks/decode,T3.1,splitting,5,0.1416,0.0177,0.1161,0.1622
gitleaks/decode,T3.2,splitting,5,0.0252,0.0099,0.0111,0.0333
gitleaks/decode,T3.3,splitting,5,0.0000,0.0000,0.0000,0.0000
gitleaks/decode,T3.4,splitting,5,0.0222,0.0087,0.0111,0.0296
gitleaks/decode,T3.5,splitting,5,0.0170,0.0124,0.0037,0.0333
gitleaks/decode,T4.3,char_format,5,0.0000,0.0000,0.0000,0.0000
gitleaks/decode,T4.5,char_format,5,0.0000,0.0000,0.0000,0.0000
gitleaks/decode,T5.1,indirection,5,0.6558,0.0055,0.6504,0.6630
gitleaks/decode,T5.2,indirection,5,0.0000,0.0000,0.0000,0.0000
gitleaks/decode,T6.1,contextual,5,0.7778,0.0000,0.7778,0.7778
gitleaks/decode,T6.4,contextual,5,0.7778,0.0000,0.7778,0.7778
gitleaks/decode,T7.1,composition,5,0.0600,0.0152,0.0444,0.0778
gitleaks/decode,T7.2,composition,5,0.0000,0.0000,0.0000,0.0000
gitleaks/default,T0.0,control,5,1.0000,0.0000,1.0000,1.0000
gitleaks/default,T1.1,encoding,5,0.7718,0.0018,0.7691,0.7741
gitleaks/default,T1.2,encoding,5,0.6590,0.0030,0.6543,0.6617
gitleaks/default,T1.3,encoding,5,0.0067,0.0028,0.0037,0.0088
gitleaks/default,T1.4,encoding,5,0.0674,0.0055,0.0583,0.0715
gitleaks/default,T1.5,encoding,5,0.9189,0.0054,0.9137,0.9280
gitleaks/default,T1.6,encoding,5,0.6533,0.0046,0.6468,0.6592
gitleaks/default,T1.7,encoding,5,0.6610,0.0028,0.6568,0.6642
gitleaks/default,T2.1,multi_encoding,5,0.6545,0.0052,0.6481,0.6605
gitleaks/default,T2.2,multi_encoding,5,0.6516,0.0043,0.6444,0.6556
gitleaks/default,T2.3,multi_encoding,5,0.0373,0.0091,0.0275,0.0489
gitleaks/default,T3.1,splitting,5,0.1416,0.0177,0.1161,0.1622
gitleaks/default,T3.2,splitting,5,0.0252,0.0099,0.0111,0.0333
gitleaks/default,T3.3,splitting,5,0.0000,0.0000,0.0000,0.0000
gitleaks/default,T3.4,splitting,5,0.0222,0.0087,0.0111,0.0296
gitleaks/default,T3.5,splitting,5,0.0170,0.0124,0.0037,0.0333
gitleaks/default,T4.3,char_format,5,0.0000,0.0000,0.0000,0.0000
gitleaks/default,T4.5,char_format,5,0.0000,0.0000,0.0000,0.0000
gitleaks/default,T5.1,indirection,5,0.6558,0.0055,0.6504,0.6630
gitleaks/default,T5.2,indirection,5,0.0000,0.0000,0.0000,0.0000
gitleaks/default,T6.1,contextual,5,0.7778,0.0000,0.7778,0.7778
gitleaks/default,T6.4,contextual,5,0.7778,0.0000,0.7778,0.7778
gitleaks/default,T7.1,composition,5,0.0407,0.0149,0.0259,0.0556
gitleaks/default,T7.2,composition,5,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T0.0,control,5,1.0000,0.0000,1.0000,1.0000
trufflehog/default,T1.1,encoding,5,0.9978,0.0023,0.9944,1.0000
trufflehog/default,T1.2,encoding,5,0.1671,0.0008,0.1667,0.1685
trufflehog/default,T1.3,encoding,5,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T1.4,encoding,5,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T1.5,encoding,5,0.9989,0.0015,0.9972,1.0000
trufflehog/default,T1.6,encoding,5,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T1.7,encoding,5,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T2.1,multi_encoding,5,0.9978,0.0031,0.9944,1.0000
trufflehog/default,T2.2,multi_encoding,5,0.9983,0.0015,0.9972,1.0000
trufflehog/default,T2.3,multi_encoding,5,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T3.1,splitting,5,0.0285,0.0127,0.0167,0.0421
trufflehog/default,T3.2,splitting,5,0.0387,0.0212,0.0167,0.0590
trufflehog/default,T3.3,splitting,5,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T3.4,splitting,5,0.0353,0.0138,0.0167,0.0506
trufflehog/default,T3.5,splitting,5,0.0269,0.0201,0.0084,0.0590
trufflehog/default,T4.3,char_format,5,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T4.5,char_format,5,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T5.1,indirection,5,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T5.2,indirection,5,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T6.1,contextual,5,0.9989,0.0015,0.9972,1.0000
trufflehog/default,T6.4,contextual,5,0.9978,0.0023,0.9944,1.0000
trufflehog/default,T7.1,composition,5,0.0201,0.0126,0.0084,0.0417
trufflehog/default,T7.2,composition,5,0.0000,0.0000,0.0000,0.0000
